Number	Source	Voice	Taunt
573	Braveheart		Are You Ready For A War!
574	Braveheart		They May Take Our Life, But They'll Never Take, Our Freedom!
575	Braveheart		Who Is This Person Who Speaks To Me As Though I Needed His Advice
576	Braveheart		You Tell Your King, William Wallace Will Not Be Ruled
577	Army Of Darkness		See This, This Is My BOOM Stick!
578	Army Of Darkness		Ooh That's Gotta Hurt
579	Army Of Darkness		Buckle Up Bonehead, Cause You're Going For A Ride
580	Army Of Darkness		Hail To The King Baby
581	Army Of Darkness		Ready The Catapults, By God, Let's Give Em What For
582	Army Of Darkness		Go Ahead And Run. Run Home And Cry To Mama
583	Army Of Darkness		Come Get Some
584	Army Of Darkness		Oh You Little Bastards
585	Army Of Darkness		Alright Who Wants Some
586	Army Of Darkness		You Ain't Leading 2 Things Right Now, Jack And Shit, And Jack Left
587	3 Amigos		Wherever There Is Injustice, You Will Find Us
588	3 Amigos		Wherever There Is Suffering, We'll Be There
589	3 Amigos		Wherever Liberty Is Threatened, You Will Find, The 3 Amigos!
590	300		THIS IS SPARTA!
591	300		For Tonight, We Dine IN HELL
592	A Few Good Men		I Want The Truth!
593	A Few Good Men		You Can't Handle The Truth!
594	Airplane!		Cut Me Some Slack Jack
595	Akira		They Found Us, Run For It!
596	Akira		Do It Now!
597	Aliens		That's It Man Game Over Man, Game Over!
598	Aliens		Its Game Time
599	Aliens		Let's Rock! Yeah!
600	Aliens		Attention. Emergency. All Personnel Must Evacuate Immediately
601	Aliens		There They Go Over There Get Em
602	Aliens		Look Man, I Only Need To Know One Thing. Where They Are
603	Aliens		What Are We Going To Do Now. What Are We Gonna Do
604	Aliens		We Just Got Our Asses Kicked Pal
605	Aliens		Now What Are We Supposed To Do
606	American History X		Well Excuse Me But Fuck You
607	Animal House		Over, Did You Say Over. Nothing Is Over Until We Decide It Is
608	Animal House		My Advice To You, Start Drinking Heavily
609	Apocalypse Now		I Love The Smell Of Napalm In The Morning
610	Apollo 13		Houston We Have A Problem
611	Armageddon		Somebody Dial 911!
612	Batman	Joker	Lets Put A Smile On That Face!
613	Batman	Joker	Why So Serious
614	Big Trouble Little China		Hey Don't Worry I Can Handle It
615	Big Trouble Little China		Now This Really Pisses Me Off To No End
616	Big Trouble Little China		I Was Born Ready
617	Bill And Ted	Death	You Must Play Me Again
618	Bill And Ted		Excellent
619	Bill And Ted		No Way
620	Biloxi Blues		You Would Need 3 Promotions To Get To Be An Asshole
621	Blues Bothers		The Women, How Much For The Women
622	Boondock Saints		You InsignifiCUNT!
623	Butch Cassidy		Morons, I've Got Morons On My Team
624	Butch Cassidy		Well, You Know, It Could Be Worse
625	Cheech Chong		When Boy, When, Are You Gonna Get Your Act Together!
626	Cheech Chong		Hey This Is Great Man
627	Clueless		You're A VIRGIN
628	Commando		You Scared Mother Fucker, Well You Should Be
629	Cool Hand Luke		What We've Got Here Is, Failure To Communicate
630	Devils Rejects		I Am The Devil, And I Am Here To Do The Devil's Work
631	Die Hard		Now You Listen To Me Mister, You Just Destroyed A Building!
632	Doctor Detroit		Look, You Want The Asshole Of The Year Award, You Got My Vote, Ok
633	Excalibur		Oh, You Learn Quickly, That's Good, I Like That
634	Excalibur		We Have Won Battles Against Armies, And Now One Man Defeats All My Knights
635	Excalibur		Run Home To Your Mother Boy
636	Face Off		Let's Go, Let's Go, I'm Bored, Let's Go
637	Fast Times		Hey Bud What's Your Problem
638	Ferris Bueller		How Could I Have Been So Careless
639	Ferris Bueller		You're Still Here, It's Over, Go Home, Go
640	Flatliners		Ass Licking Son Of A Bitch
641	Friday		YOU GOT KNOCKED THA FUGGG OUT!
642	Friday		I Know What I'm Doing Man, Stfu. Lol
643	Full Metal Jacket		Oh, You Little Maggot! You Make Me Want To Vommit!
644	Full Metal Jacket		I Have Failed Because You Have Not Helped Me
645	Full Metal Jacket		Sir, Yes Sir!
646	Full Metal Jacket		What Is Your Major Malfunction Numbnuts
647	Gettysburg		That Has Already Happened Once, It Must Never, Never Happen Again
648	Gettysburg		Retreat Is No Longer An Option
649	Ghost Busters		My Friend, Don't Be A Jerk
650	Ghostbusters		Well Now Don't You Bet Your Life On It
651	Ghostbusters		I Think We Better Split Up. Good Idea. Yea, We Can Do More Damage That Way
652	Ghostbusters		We Came, We Saw, We Kicked Its Ass!
653	Half Baked		Fuck You, Fuck You, Fuck You, You're Cool, And Fuck You, I'm Out!
654	Heathers		You Stupid FUCK
655	Hitchhikers Guide		I Can't Cope With Any More Of This, I'll Just Go And Have A Lie Down
656	Hot Shots		Keep It Up You'll Be Carrying Your Face Home In A Doggy Bag
657	ID4		Looks Like They're Preparing An Invasion
658	ID4		Who's The Man Huh, Who's The Man
659	Indiana Jones		Our Situation Has Not Improved
660	Interview With The Vampire		Don't Make Me Do This, I Cannot
661	It's A Wonderful Life		Now Listen To Me, I Beg Of You Not To Do This Thing
662	James Bond		What Are You, Some Kind Of Doomsday Machine Boy!
663	James Bond		Bond, James Bond
664	Josie And The Pussycats		Oh! Help, We're Being Brain Washed!
665	Jurassic Park		T-Rex Roar
666	Kelly's Heroes		You're Getting Pretty Ambitious Aren't Ya
667	Kelly's Heroes		You Know What I Mean By Assaulted, Huh, Well I Mean Assaulted!
668	Kelly's Heroes		Come On Now, Lets Get This Army Of Mine Back In The War
669	Kill Bill		Now If Any Of You Sons Of Bitches, Got Anything Else To Say, Now's
670	Lebowski		I Don't Like Your Jerkoff Name. Face. Behavior. And I Don't Like You, Jerkoff
671	My Boyfriend's Back		When It Comes To Chowing Down On A Real Man, Quite The Little Wussi
672	Network		I'm As Mad As Hell And I'm Not Gonna Take This Anymore!
673	Patriot Games		I Will Fucking Destroy You. I Will Make It My Mission In Life
674	Platoon		Death, What Do You All Know About Death
675	Princess Bride		Bye Bye Boys, Have Fun Storming The Castle
676	Princess Bride		Hello, My Name Is Inigo Montoya, You Killed My Father, Prepare To Die
677	Princess Bride		Inconceiveable
678	Princess Bride		I Am No One To Be Trifle With, That Is All You Ever Need Know
679	Princess Bride		You'd Like To Think That Wouldn't You
680	Remember The Titans		Will You Ever Quit! No! We Want Some More!
681	Reservoir Dogs		Are You Gonna Bark All Day Little Doggy Or Are You Gonna Bite
682	Robin Hood Prince Of Thieves		Might I Have Your Name Before I Have You Run Through
683	Robin Hood Prince Of Thieves		I'm Gonna Cut Your Heart Out With A Spoon
684	Robocop		Back Off Or There Will Be Trouble
685	Robot HAL 9000		I'm Afraid That's Something I Cannot Allow To Happen
686	Scary Movie		I See Dead People
687	Se7en		Hey Man, You Know, I'm Right Here. You Can Say That Shit To My Face
688	Sharpes Honour		You Have One More Chance, Apologize And Resign
689	Six Days Seven Nights		How Do You Want It. You Want It Sugar Coated Or Between The Eyes
690	Slap Shot		WE'RE LOSIN! They're Burying Us Alive! You're Blowin It!
691	Smokey And The Bandit		I Gotta Barbeque Your Ass!
692	Something About Mary		Owww! Ahh! Ah! Ahh!
693	Speed		I'm Gonna Rip Your Fuckin Spine Out I Swear To God
694	Starship Troopers		I Only Have One Rule. Everyone Fights, No One Quits
695	Stripes		Before We Proceed Any Further We Gotta Get Somethin Straight
696	Tank Girl		What's It Like Knowing You're About To Die
697	Taxi Driver		Who The Fuck Do You Think You're Talking To
698	Team America		I'll Rip Your Fuckin Balls Off And Stuff Em Up Your Ass!
699	The Burbs		What Do We Do Now Soldier
700	The Departed		I'll Cut Your Fuckin Nuts Off. You Understand That
701	The Maltese Falcon		You Imbecile, You Bloated Idiot, You Stupid Fat Head You, 'cries'
702	The Thing		You Gotta Be Fuckin Kidding
703	They Live		I Have Come Here To Chew Bubblegum And Kick Ass And I'm All Outta Bubblegum
704	Tim Allen		Pay Attention Boys I'll Show U How It's Done
705	Toy Story	Buzz	Don't Even Think About It Cowboy
706	Toy Story	Buzz	I just want you to know that even though you tried to terminate me, Revenge is not an idea we promote on my planet
707	Toy Story	Buzz	There Seems To Be No Sign Of Intelligent Life Anywere
708	Toy Story	Buzz	You're Mocking Me, Aren't You
709	Toy Story	Rex	I Don't Like Confrontations
710	Toy Story	Sarge	Where Is Your Honor Dirt Bag. You Are An Absolute Disgrace
711	Toy Story	Alien	Farewell My Friend, I Go On To A Better Place
712	Titanic		I'm The King Of The World!
713	Tombstone		You Gonna Do Something Or Just Stand There And Bleed
714	Tombstone		Does This Mean We're Not Friends Anymore
715	Trading Places		Get Lost You Maggot
716	Trading Places		I'll Rip Out Your Eyes And Piss On Your Brain
717	Waterloo		Never Interrupt Your Enemy When He Is Making A Mistake
718	Wayne's World	Wayne	Denied
719	Wayne's World	Wayne	Yeah, And Monkeys Might Fly Out Of My Butt
720	Wayne's World	Wayne	Are You Mental
721	Wayne's World	Wayne	Not
722	Wayne's World	Wayne	Hey What Are U Up To
723	Wayne's World	Wayne	No Way
724	Wayne's World	Garth	It's Almost Too Easy
725	Wayne's World	Garth	He's Gonna Be Ooo K
726	Wayne's World	Garth	Hey Mr Donut Head Man Who's Trying To Kill You
727	Wayne's World		Wow Your Amazing Dude
728	White Men Can't Jump		Shut Your Anorexic Malnutrition Diet Drinking Ass Up
729	Wizard Of Oz	Dorothy	What Would You Do With A Brain If You Had One
730	Woody Allen		You Can All Go Fuck Yourselves
731	X-Men The Last Stand		I'm The Juggernaut, Bitch!
732			Tell Me Where The Rest Of Your Men Are Hiding
733	Saw		I Want To Play A Game
734	Saw		Live Or Die, Make Your Choice
735	Saw		Congratulations, You Are Still Alive
736	Saw		Most People Are So Ungrateful To Be Alive, But Not You, Not Anymore
737	Hell Raiser		Your Suffering Will Be Legendary, Even In Hell
738	Hell Raiser		No Tears, Please. It's A Waste Of Good Suffering!
739	Hell Raiser		We'll Tear Your Soul Apart
740	The Shining		Redrum, Redrum, Redrum, Redrum!
741	The Shining		I'm Just Gonna Bash Your Brains In. I'm Gonna Bash Em Right The Fuck In
742	Child's Play		Hi, I'm Chucky, Wanna Play! Ahh!
743	IT		I'll Kill You All! Haha! I'll Drive You Crazy, And I'll Kill You Al
744	Misery		There Is Nothing To Worry About, You're Gonna Be Just Fine. I'm Your Number 1 Fan
745	Nightmare On Elm St		Whatever You Do, Don't Fall Asleep
746	Poltergeist		They're Here
747	Adam Sandler		AH HA HA HA HA HA HA HA, SHUT UP!
748	Adam Sandler		All Right Lets Go, You Like That Old Man, You Want A Piece Of Me
749	Adam Sandler	Bob Barker	I Think You've Had Enough, No, Now You've Had Enough
750	Adam Sandler		Rock And Roll!
751	Adam Sandler		Sir, One More Outburst I Will Strangle You With My Microphone Wire
752	Adam Sandler		Time To Open Up Some Whoop-Ass
753	Adam Sandler		So That's What Opening Up A Can Of Whoopass Feels Like
754	Adam Sandler		'Spanish Muttering'. Slow Down
755	Adam Sandler		There's Nothing You Can Do About It, Cause I'm A Mad Man!
756	Adam Sandler		Why Don't You Just Watch Me And Make Sure I Don't Do Anything Stupid
757	Adam Sandler		You Want Some More Of That, I Didn't Think So!
758	Al Pacino		I Wanna Hear You Scream
759	Al Pacino		It Was Not What I Wanted!
760	Al Pacino		Say Hello To My Little Friend!
761	Al Pacino		You're A Piece Of Shit You Fucking Cockroach
762	Arnold		Come On, Come On!, Kill Me!, I'm Here!, Kill Me!, Come On!, Kill Me
763	Arnold		Come On, Don't Bullshit Me
764	Arnold		Come With Me If You Want To Live
765	Arnold		Don't You Know The Building Is On Fire
766	Arnold		GAME OVER
767	Arnold		Going To Play A Wonderful Game
768	Arnold		Good Morning
769	Arnold		Hasta La Vista, Baby
770	Arnold		Hi
771	Arnold		How Are You
772	Arnold		Howdy Stranger
773	Arnold		I Do Not Want To Touch His Ass
774	Arnold		I Don't Play That Game
775	Arnold		I'll Be Back
776	Arnold		I'm Back
777	Arnold		Just Do What I Tell You
778	Arnold		Why Not
779	Arnold		No
780	Arnold		Prepare To Be Conquered
781	Arnold		Put That Cookie Down, Now!
782	Arnold		So Why Am I Still Alive
783	Arnold		What's A Matter
784	Arnold		Stop It
785	Arnold		Stop Whining!
786	Arnold		What The Fuck Did I Do Wrong
787	Arnold		What The Hell Were You Thinking
788	Arnold		Who Are You
789	Arnold		Who The Fuck Are You
790	Arnold		Yes
791	Arnold		You Son Of A Bitch
792	Arnold		You Started It
793	Arnold		You've Just Been Erased
794	Chris Farley		I Wish You Could Shut Your Big Yapper!
795	Chris Farley		Oh My God We're Burning Alive!
796	Chris Farley		Sweet Mother Of God! What Is The Holdup!
797	Chris Farley		Well La De Frickin Da!
798	Clint		Dying Ain't Much Of A Living Boy
799	Clint		Go Ahead Make My Day
800	Clint		Such Ingratitude After All The Times I've Saved Your Life
801	Clint		You Made A Mistake, Well That Was Entirely Unacceptable
802	Denis Leary		Hey Hey Hey Hey Hey
803	Denis Leary		I Am The Lord Of The Dance
804	Denis Leary		I'm An Asshole And I'm Proud Of It
805	Denis Leary		Pull Up Your Pants
806	Denis Leary		Relax
807	Denis Leary		Sorry
808	Denis Leary		What The Hell Were You Thinking
809	Denis Leary		You're Going Down
810	Denis Leary		You're Welcome
811	Gene Wilder		Jesus Christ! I've Met Some Dumb Bastards In My Time But You Outdo Them All
812	Gene Wilder		No No, Don't Do That, If You Shoot Him You'll Just Make Him Mad
813	Gene Wilder		What's The Matter With You People I Was Joking! Don't You Know A Joke
814	Gene Wilder		You Stupid Ignorant Son Of A Bitch Dumb Bastards!
815	Jim Carrey	Ace Ventura	Alrighty Then
816	Jim Carrey	Ace Ventura	Here I Come To Save The Day
817	Jim Carrey	Ace Ventura	Hi, I'm Looking For Ray Finkle, And A Clean Pair Of S
818	Jim Carrey	Ace Ventura	How Can I Get This Work Done With All Of The Shouting
819	Jim Carrey	Ace Ventura	I Just Cant Do It Captain, I Don't Have The Power!
820	Jim Carrey	Ace Ventura	I Was Way Off
821	Jim Carrey	Ace Ventura	I'm Warning You, I'm Seriously Stressed Here
822	Jim Carrey	Ace Ventura	Killer Boots Man!
823	Jim Carrey	Ace Ventura	Laughing
824	Jim Carrey	Ace Ventura	What Happened To Him What Happened To Me
825	Jim Carrey	Ace Ventura	Yes! Yes! Oh, Yea! Can You Feel That Buddy! Huh, Huh
826	Jim Carrey	Ace Ventura	You Know, Could Put Somebody's Eye Out With That Thing
827	Jim Carrey	Cable Guy	Ha Ha Ha Ha Ha, You Are Too Easy
828	Jim Carrey	Cable Guy	I Can Be Your Best Friend Or Your Worst Enemy
829	Jim Carrey	Cable Guy	I'm Kind Of A Perfectionist
830	Jim Carrey	Cable Guy	Lets Get It On
831	Jim Carrey	Cable Guy	No Sweat Off My Sac
832	Jim Carrey	Cable Guy	No Way
833	Jim Carrey	Cable Guy	Oh I See, We're Playing Prison Rules Huh
834	Jim Carrey	Cable Guy	Who Told You That, What Is His Name
835	Jim Carrey	Cable Guy	Well Maybe I Shouldn't Have Come At All, Jerkoff!
836	Jim Carrey	Fire Marshall Bill	Fire Marshall Bill Just What The Heck Do You Think You're Doin
837	Jim Carrey	Grinch	But What Would I Wear
838	Jim Carrey	Lloyd	Man, You Are One Pathetic Loser
839	Jim Carrey	Mask	That's Gotta Hurt
840	Jim Carrey	Riddler	Now The Real Game Begins
841	Joe Pesci		Get This Through Your Head Motherfucker, You Only Exist Out Here Because Of Me
842	Joe Pesci		You Shit Kicking Stinky Horse Manure Smelling Mothafucka You
843	Joe Pesci		You're Warned Don't Ever Go Over My Head Again, You Mother Fucker You
844	Rodney Dangerfield		Well This Whole Place Sucks, That's Right, It Sucks
845	Sam Jackson		You Know What The Scariest Thing Is
846	Sam Jackson		I DON'T REMEBER ASKING YOU A GOD DAMN THING
847	Sam Jackson		Oh, I'm Sorry Did I Break Your Concentration
848	Sam Jackson		Say What Again. I Dare You Mother Fucker! Say What One More God Damn Time
849	Sam Jackson		There Is A Sole Survivor, And He Is Miraculously Unharmed
850	3rd Rock		I Am So Screwed
851	All In The Family		Ay, Ay, AY! You Trying To Rush Us
852	Beverly Hillbillies		By Doggies That's Hittin Low
853	Blackadder		Please, Please, You've Got To Help Me. I Don't Want To Die, I Want
854	Dexter		I OWN YOU
855	Friends	Chandler	Is It Wrong That I Was Totally Aroused By That
856	Married With Children		Cant Do This To Me, I'm A Legend
857	Millennium		He Wants A Challenge, Lets Give Him One
858	MST3K		You Know, Sometimes I Feel Like You Guys Don't Want Me To Take Over The World
859	MST3K		I Seem To Have Died Is That Okay
860	MST3K		Boy, The Potential For Something To Happen Is Very High Right Now
861	MST3K		There's About A 1 In 4 Chance We're Gonna Come Out Of This Alive
862	Red Dwarf		You Are An Impudent Fool
863	Red Dwarf		We Attack Tomorrow, Under Cover Of Daylight. The Last Thing They'll Expect
864	Red Dwarf		Very Well, If That's The Way You Want To Play It
865	Red Dwarf		We Have To Face Facts, The War Is Lost
866	Seinfeld		I'm Dangerous, I'm Very Very Dangerous!
867	Seinfeld		That Guy's Coming Home In A Body Bag
868	Seinfeld		I'm Sorry. This Is What Comes Of Living Under A Nazi Regime
869	Seinfeld		Who Wants To Have Some Fun!
870	SNL		Well Isn't That Special
871	Stooge		I'm Trying To Think But Nothing Happens
872	Stooge		Woowuwuwuwuwu. Nyuk, Nyuk, Nyuk
873	Stooge		I'll Explain It So Even You Can Understand. My Colleagues Will Assi
874	The A Team		Hey Fool, This Stuff Is Dangerous It'll Burn Your Face Right Off
875	The Office		NOO GOD! No! God! PLEASE NO! No! No! NOOOOOOOOOO
876	Wrestling		And Now Ladies And Gentlemen Let's Get Ready To Rumble
877	Wrestling		Do You Want To Go One On One With The Great One
878	Wrestling		It Doesn't Matter What Your Name Is
879	Xena		Battle Cry
880	Wassup		Wuthaaaa
881	Wassup		Wazaa
882	Wassup		Wuzaaaa
883	Wassup		Wuhzaaaa
884	Watching Game		Watching The Game, Having A Bud
885	Watching Game		Nuttin B, Just Watching The Game, Having A Bud
886	Watching Game		Nothing, Watching The Game, Having A Bud
887	Jurgen The German		I Feel I Must Apologize For The Conduct Of My Nation In The War
888	Curser		Scumbag Fuckface Dickhead Asshole
889	Curser		Shit Eating Son On A Bitch
890	Curser		Bastard Douchebag Twat Dickhead
891	Curser		Dick Brained, Horseshit, Slime Sucking, Son Of A Whore, Bitch!
892	Curser		Fuck You, Yeah That's My Message For You. Fuck You And Kiss My Ass
893	Curser		Fuck Your Own Face!
894	Curser		Go FUCK Yourself
895	Curser		Muthafucka!
896	Curser		Hey, Fuck You
897	Curser		I Will Massacre You! I Will Fuck You Up!
898	Curser		Why Don't You Go Home And Fuck Your Mother Some More
899	Curser		You Cock Juggling Thunder Cunt!
900	Curser		You Fucker's Fucker! You Fucker! Huh Huh Huh
901	Curser		You Mother Fucking Worthless Cocksucker!
902	Shutup		For The Tenth Time If You Don't Shut Up, I'm Gonna Positively Kill
903	Shutup		Meow Meow Meow Meow Meow, Shut The Fuck Up Will Ya!
904	Shutup		Shutup, Shutup, Shutup, Just Shutup
905	Shutup		Shutup
906	Shutup		STFU! I'm Gonna Kill You
907	Pee		I Gotta Go To The Bathroom!
908	Pee		Haha I Believe He Said He Had To Go Pee
909	Pee		I Really Gotta Pee
910	Pee		You Ain't Cool, Unless You Pee Your Pants
911	Effect		Chainsaw Reving
912	Effect		Man Screaming
913	Effect		Taps
914	Effect		Bugle Call
915	Effect		Gong
916	Effect		Random
917	Effect		Wolf
918	Effect		Chicken Sound
919	Effect		Burp
920	Effect		Coughing
921	Effect		Snoring
922	Effect		Snoring 2
923	Effect		Pffft Oh, You Farted
924	Effect		Drowning
925	Effect		Crowd Cheering
926	Windows		Welcome
927	Windows		Goodbye
928	Crying		Kid Crying
929	Crying		Baby Crying
930	Crying		Baby Crying (Autotuned)
931	Kids Voice		Boy, You're Hurting Me
932	Kids Voice		Get Away From Me U Stupid Idiot
933	Kids Voice		Uh Oh
934	Kids Voice		Wussy, Wussy, Wussy
935	Kids Voice		YOU'RE A NOOB!
936	Small Voice		Allelujah, Allelujah, Allelujah, Allelujah, I Am Still Avlie
937	Small Voice		Please Don't Kill Me
938	Small Voice		Shutup
939	Small Voice		You Stink
940			OH Yeah!
941			Hooo-Ha
942			Yeeehaaa
943			Yeeehhhhaaaooo
944			Oh That Sucks
945			This Sucks
946			All Your Base Are Belong To Us
947			Oh I'm So Scared
948			Listen Bro, You Got A Problem With My Coolness Unh Unh Unh
949			Hey Girl You Looking Good, Wanna Come Back To My Place And Derp
950			Aww Yeeah First Place Bitches! LOL
951			OMG You Fucking Loser, I Know You Hacked. I'm Gonna Tell The Admin
952			If I Haven't Told You Once, I've Told You Twice. I'm The Best There
953			boy, i told you i was crazy now. now you  gonna make me get out my ugly stick and run a makeover on your face
954			People Like Me I'm The Champ
955			I'm Gonna Get You Sucka
956			That Was A Record!
957			Are You Still There
958			That's It, Lets Do It I'm Ready
959			Woah! What The Hell's Your Problem
960			COOL!
961			He'll Be Fun To Break
962			What Are You Waiting For, Come On, Come On
963			France Has Fallen!
964			Long Live France!
965			You Never Meant To Keep You Word, You Have No Honor, You Are A Cheat And A Liar
966			We're Taking This Place Over
967			Time To Play
968			There Will Be Blood
969			Our Base Is Under Attack
970			Frankly Son, You Frighten Me
971			C'mon, Gimmie A Break
972			Warning! Warning!
973			Don't Do That
974			Don't Touch Me
975			Go Away, I'm Busy
976			Nice Try But I'm Afraid You Can't Do That
977			I've Been Looking For You
978			Hello Yoohoo Anybody Here
979			We're Gonna Win!! Haha
980			Open This Gate!
981			You're Ugly And Your Mother Dresses You Funny
982			Oh That Was Painful Wasn't It
983			I Hope He's Well Insured
984			Come On Man
985	Laugh		Haahahahaahaaahaha
986	Laugh		Hahahahahaha
987	Laugh		HAAhahaHaha
988	Laugh		Yeaahahaha Hahahahahee
989	Laugh		HAHA, Assholes!
990	Laugh		Wicked Laugh
991	Laugh		Bad Cackle
992	Laugh		Hmhmhmmhahahaha
993	Laugh		Wuuwhowhohahahahaha
994	Laugh		Hehhehhehhawhawhaw
995	Laugh		Ha Ha Ha
996	Laugh		HahAhahaHa
997	Laugh		Hahahaha GOT EM!
998	Laugh		Hahahahahaahaahaa
999	Laugh		You Are An Idiot, Hahahahahahaha
